"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"373","Facundo Arguello","a941","facundo-arguello","https://www.atptour.com/en/players/facundo-arguello/a941/overview","27(1992.08.04)","","170lbs(77kg)","5'10""(178cm)","Cordoba,Argentina","Cordoba,Argentina","Right-Handed,Two-HandedBackhand","JavierNalbandian"
"374","Guido Andreozzi","a887","guido-andreozzi","https://www.atptour.com/en/players/guido-andreozzi/a887/overview","28(1991.08.05)","2010","172lbs(78kg)","6'0""(183cm)","BuenosAires,Argentina","BuenosAires,Argentina","Right-Handed,Two-HandedBackhand","GastonEtlis"
"375","Andrea Arnaboldi","a622","andrea-arnaboldi","https://www.atptour.com/en/players/andrea-arnaboldi/a622/overview","32(1987.12.27)","2006","158lbs(72kg)","5'11""(180cm)","Milan,Italy","Cantu,Italy","Left-Handed,One-HandedBackhand","FabrizioAlbani"
"376","Liam Broady","bi23","liam-broady","https://www.atptour.com/en/players/liam-broady/bi23/overview","26(1994.01.04)","2014","172lbs(78kg)","6'0""(183cm)","Stockport,England","Stockport,England","Left-Handed,Two-HandedBackhand","DavidSammel"
"377","Gianni Mina","mj89","gianni-mina","https://www.atptour.com/en/players/gianni-mina/mj89/overview","28(1992.02.09)","","187lbs(85kg)","6'2""(188cm)","LesAbymes,Guadeloupe","Paris,France","Right-Handed,Two-HandedBackhand","CyrilSaulnier,HoracioRearte"
"378","Frances Tiafoe","td51","frances-tiafoe","https://www.atptour.com/en/players/frances-tiafoe/td51/overview","22(1998.01.20)","2015","190lbs(86kg)","6'2""(188cm)","Hyattsville,MD,USA","BoyntonBeach,FL,USA","Right-Handed,Two-HandedBackhand","ZackEvenden"
"379","Daniel Elahi Galan","ge33","daniel-elahi-galan","https://www.atptour.com/en/players/daniel-elahi-galan/ge33/overview","24(1996.06.18)","2015","159lbs(72kg)","6'3""(191cm)","Bucaramanga,Colombia","Bogota,Colombia","Right-Handed,Two-HandedBackhand","SantosGalan"
"380","Alexander Sarkissian","sl07","alexander-sarkissian","https://www.atptour.com/en/players/alexander-sarkissian/sl07/overview","30(1990.04.03)","2014","175lbs(79kg)","6'3""(191cm)","Glendale,CA,USA","Glendale,CA,USA","Right-Handed,Two-HandedBackhand","FedericoBrowne"
"381","Marcelo Demoliner","d833","marcelo-demoliner","https://www.atptour.com/en/players/marcelo-demoliner/d833/overview","31(1989.01.18)","","190lbs(86kg)","6'4""(193cm)","CaxiasdoSul,Brazil","RiodeJaneiro,Brazil","Right-Handed,One-HandedBackhand","DudaMatos,DavidSammel"
"382","Alejandro Gomez","gb42","alejandro-gomez","https://www.atptour.com/en/players/alejandro-gomez/gb42/overview","28(1991.08.14)","2015","187lbs(85kg)","6'0""(183cm)","Cali,Colombia","Cali,Colombia","Right-Handed,Two-HandedBackhand",""
"383","Adrian Menendez-Maceiras","mb53","adrian-menendez-maceiras","https://www.atptour.com/en/players/adrian-menendez-maceiras/mb53/overview","34(1985.10.28)","2005","165lbs(75kg)","6'0""(183cm)","Marbella,Spain","Marbella,Spain","Right-Handed,Two-HandedBackhand","AmaritSanchez"
"384","Zhizhen Zhang","z371","zhizhen-zhang","https://www.atptour.com/en/players/zhizhen-zhang/z371/overview","23(1996.10.16)","2012","192lbs(87kg)","6'4""(193cm)","Shanghai,China","Shanghai,China","Right-Handed,Two-HandedBackhand",""
"385","Nicolas Jarry","j551","nicolas-jarry","https://www.atptour.com/en/players/nicolas-jarry/j551/overview","24(1995.10.11)","2014","198lbs(90kg)","6'6""(198cm)","Santiago,Chile","Santiago,Chile","Right-Handed,Two-HandedBackhand","DanteBottini"
"386","Taylor Fritz","fb98","taylor-fritz","https://www.atptour.com/en/players/taylor-fritz/fb98/overview","22(1997.10.28)","2015","190lbs(86kg)","6'4""(193cm)","RanchoSantaFe,CA,USA","RanchoPalosVerdes,CA,USA","Right-Handed,Two-HandedBackhand","PaulAnnacone,DavidNainkin"
"387","Nikola Mektic","mf09","nikola-mektic","https://www.atptour.com/en/players/nikola-mektic/mf09/overview","31(1988.12.24)","2008","174lbs(79kg)","6'0""(183cm)","Zagreb,Croatia","Zagreb,Croatia","Right-Handed,Two-HandedBackhand","GoranOresic"
"388","Matthew Barton","bh98","matthew-barton","https://www.atptour.com/en/players/matthew-barton/bh98/overview","(1991.12.18)","2009","187lbs(85kg)","6'3""(191cm)","Sydney,Australia","Collaroy,Australia","Right-Handed,Two-HandedBackhand","WallyMasur"
"389","Jozef Kovalik","kc04","jozef-kovalik","https://www.atptour.com/en/players/jozef-kovalik/kc04/overview","27(1992.11.04)","2010","181lbs(82kg)","6'0""(183cm)","Bratislava,Slovakia","Bratislava,Slovakia","Right-Handed,Two-HandedBackhand","BorisBorgula"
"390","Thiago Monteiro","mj08","thiago-monteiro","https://www.atptour.com/en/players/thiago-monteiro/mj08/overview","26(1994.05.31)","2011","172lbs(78kg)","6'0""(183cm)","Fortaleza,Brazil","Fortaleza,Brazil","Left-Handed,Two-HandedBackhand","FabianBlengino,PabloFuentes"
"391","Jan Mertl","ma38","jan-mertl","https://www.atptour.com/en/players/jan-mertl/ma38/overview","38(1982.01.03)","2002","185lbs(84kg)","6'3""(191cm)","UstiNadLabem,CzechRepublic","Prague,CzechRepublic","Right-Handed,Two-HandedBackhand",""
"392","Tristan Lamasine","lc11","tristan-lamasine","https://www.atptour.com/en/players/tristan-lamasine/lc11/overview","27(1993.03.05)","2010","152lbs(69kg)","6'0""(183cm)","Thiais,France","Fontenay-aux-Roses,France","Right-Handed,Two-HandedBackhand","GeorgesBell"
"393","Stefan Kozlov","ke64","stefan-kozlov","https://www.atptour.com/en/players/stefan-kozlov/ke64/overview","22(1998.02.01)","2013","174lbs(79kg)","6'0""(183cm)","Skopje,Macedonia","PembrokePines,FL,USA","Right-Handed,Two-HandedBackhand","AndreiKozlov,NicolasTodero"
"394","Calvin Hemery","hb48","calvin-hemery","https://www.atptour.com/en/players/calvin-hemery/hb48/overview","25(1995.01.28)","2013","184lbs(83kg)","6'3""(191cm)","LesLilas,France","Paris,France","Right-Handed,Two-HandedBackhand","ChristopheCouprie"
"395","Carl Soderlund","sx81","carl-soderlund","https://www.atptour.com/en/players/carl-soderlund/sx81/overview","23(1997.06.03)","","176lbs(80kg)","6'2""(188cm)","Stockholm,Sweden","Sweden","Right-Handed,Two-HandedBackhand","JoakimNystrom"
"396","Adam Pavlasek","pg32","adam-pavlasek","https://www.atptour.com/en/players/adam-pavlasek/pg32/overview","25(1994.10.08)","2012","168lbs(76kg)","6'1""(185cm)","Bilovec,CzechRepublic","Bilovec,CzechRepublic","Right-Handed,Two-HandedBackhand","MichalNavratil"
"397","Jordan Thompson","tc61","jordan-thompson","https://www.atptour.com/en/players/jordan-thompson/tc61/overview","26(1994.04.20)","2013","181lbs(82kg)","6'0""(183cm)","Sydney,Australia","Sydney,Australia","Right-Handed,Two-HandedBackhand","JaymonCrabb"
"398","Bjorn Fratangelo","f811","bjorn-fratangelo","https://www.atptour.com/en/players/bjorn-fratangelo/f811/overview","27(1993.07.19)","2012","175lbs(79kg)","6'0""(183cm)","Pittsburgh,PA,USA","Orlando,FL,USA","Right-Handed,Two-HandedBackhand","YannickZuern"
"399","Nicolas Kicker","kc29","nicolas-kicker","https://www.atptour.com/en/players/nicolas-kicker/kc29/overview","(1992.08.16)","2009","165lbs(75kg)","5'10""(178cm)","Merlo,Argentina","Merlo,Argentina","Right-Handed,One-HandedBackhand","JuanPabloGandara"
"400","Louis Wessels","wb25","louis-wessels","https://www.atptour.com/en/players/louis-wessels/wb25/overview","21(1998.08.27)","","198lbs(90kg)","6'6""(198cm)","Bielefeld,Germany","Detmold,Germany","Right-Handed,Two-HandedBackhand","DirkWessels"
"401","Daniil Medvedev","mm58","daniil-medvedev","https://www.atptour.com/en/players/daniil-medvedev/mm58/overview","24(1996.02.11)","2014","182lbs(83kg)","6'6""(198cm)","Moscow,Russia","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","GillesCervara"
"402","Denis Shapovalov","su55","denis-shapovalov","https://www.atptour.com/en/players/denis-shapovalov/su55/overview","21(1999.04.15)","2017","165lbs(75kg)","6'1""(185cm)","TelAviv,Israel","Nassau,Bahamas","Left-Handed,One-HandedBackhand","TessaShapovalova,MikhailYouzhny"
"403","Steven Diez","d916","steven-diez","https://www.atptour.com/en/players/steven-diez/d916/overview","29(1991.03.17)","2009","167lbs(76kg)","5'9""(175cm)","Toronto,Canada","Llicad'Amunt,Spain","Right-Handed,Two-HandedBackhand","MarcosRoy"
"404","Reilly Opelka","o522","reilly-opelka","https://www.atptour.com/en/players/reilly-opelka/o522/overview","22(1997.08.28)","2015","225lbs(102kg)","6'11""(211cm)","St.Joseph,MI,USA","DelrayBeach,FL,USA","Right-Handed,Two-HandedBackhand","JayBerger,Jean-YvesAubone"
"405","Mikael Ymer","y268","mikael-ymer","https://www.atptour.com/en/players/mikael-ymer/y268/overview","21(1998.09.09)","2015","165lbs(75kg)","6'0""(183cm)","Skovde,Sweden","Stockholm,Sweden","Right-Handed,Two-HandedBackhand","FrederikNielsen,KalleNorberg"
"406","Alexander Bublik","bk92","alexander-bublik","https://www.atptour.com/en/players/alexander-bublik/bk92/overview","23(1997.06.17)","2016","176lbs(80kg)","6'6""(198cm)","Gatchina,Russia","Sestroretsk,Russia","Right-Handed,Two-HandedBackhand","StanislavBublik,ArtemSuprunov"
"407","Andrej Martin","mf35","andrej-martin","https://www.atptour.com/en/players/andrej-martin/mf35/overview","30(1989.09.20)","2007","183lbs(83kg)","6'0""(183cm)","Bratislava,Slovakia","Bratislava,Slovakia","Right-Handed,Two-HandedBackhand","ClaudioPistolesi"
"408","Thomas Fabbiano","f586","thomas-fabbiano","https://www.atptour.com/en/players/thomas-fabbiano/f586/overview","31(1989.05.26)","2005","154lbs(70kg)","5'8""(173cm)","Grottaglie,Italy","Dubai,UAE","Right-Handed,Two-HandedBackhand","FedericoPlacidilli"
"409","Nikola Cacic","cc54","nikola-cacic","https://www.atptour.com/en/players/nikola-cacic/cc54/overview","29(1990.12.07)","2007","165lbs(75kg)","6'0""(183cm)","BanjaLuka,Bosnia-Herzegovina","Belgrade,Serbia","Right-Handed,Two-HandedBackhand","PetarDjukic"
"410","Quentin Halys","hb64","quentin-halys","https://www.atptour.com/en/players/quentin-halys/hb64/overview","23(1996.10.26)","2012","172lbs(78kg)","6'3""(191cm)","Bondy,France","Boulogne-Billancourt,France","Right-Handed,Two-HandedBackhand","OlivierRamos"
"411","Noah Rubin","rc96","noah-rubin","https://www.atptour.com/en/players/noah-rubin/rc96/overview","24(1996.02.21)","2015","155lbs(70kg)","5'9""(175cm)","LongIsland,NY,USA","LongIsland,NY,USA","Right-Handed,Two-HandedBackhand","CarlosBenatzky"
"412","Di Wu","w571","di-wu","https://www.atptour.com/en/players/di-wu/w571/overview","28(1991.09.14)","2009","143lbs(65kg)","5'8""(173cm)","Wuhan,China","Shanghai,China","Right-Handed,Two-HandedBackhand","CaoXiaoYin"
"413","Mathias Bourgue","bk19","mathias-bourgue","https://www.atptour.com/en/players/mathias-bourgue/bk19/overview","26(1994.01.18)","","183lbs(83kg)","6'2""(188cm)","Avignon,France","Avignon,France","Right-Handed,Two-HandedBackhand","OlivierMalcor"
"414","Marcus Willis","w521","marcus-willis","https://www.atptour.com/en/players/marcus-willis/w521/overview","29(1990.10.09)","2007","200lbs(91kg)","6'3""(191cm)","Slough,GreatBritain","Warwick,GreatBritain","Left-Handed,Two-HandedBackhand","MattSmith"
"415","Ernesto Escobedo","e873","ernesto-escobedo","https://www.atptour.com/en/players/ernesto-escobedo/e873/overview","24(1996.07.04)","2014","180lbs(82kg)","6'1""(185cm)","LosAngeles,CA,USA","WestCovina,CA,USA","Right-Handed,Two-HandedBackhand","Jan-MichaelGambill"
"416","Jan Satral","sk67","jan-satral","https://www.atptour.com/en/players/jan-satral/sk67/overview","30(1990.07.24)","2010","184lbs(83kg)","6'1""(185cm)","Melnik,CzechRepublic","Prague,Czechrepublic","Right-Handed,Two-HandedBackhand","JiriHrebec"
"417","Omar Jasika","j553","omar-jasika","https://www.atptour.com/en/players/omar-jasika/j553/overview","23(1997.05.18)","","132lbs(60kg)","6'0""(183cm)","MelbourneVictoria,Australia","Melbourne,Australia","Left-Handed,Two-HandedBackhand","AdmirJasika-Mitch"
"418","Andrew Whittington","w630","andrew-whittington","https://www.atptour.com/en/players/andrew-whittington/w630/overview","(1993.08.11)","","181lbs(82kg)","6'2""(188cm)","Williamstown,Australia","Williamstown,Australia","Right-Handed,Two-HandedBackhand",""
"419","Tommy Paul","pl56","tommy-paul","https://www.atptour.com/en/players/tommy-paul/pl56/overview","23(1997.05.17)","2015","180lbs(82kg)","6'1""(185cm)","Voorhees,NJ,USA","DelrayBeach,FL,USA","Right-Handed,Two-HandedBackhand","BradStine"
"420","Marco Cecchinato","cf01","marco-cecchinato","https://www.atptour.com/en/players/marco-cecchinato/cf01/overview","27(1992.09.30)","2010","172lbs(78kg)","6'1""(185cm)","Palermo,Italy","Palermo,Italy","Right-Handed,One-HandedBackhand","MassimoSartori"
"421","Brydan Klein","k964","brydan-klein","https://www.atptour.com/en/players/brydan-klein/k964/overview","30(1989.12.31)","2007","183lbs(83kg)","6'2""(188cm)","Perth,Australia","Perth,Australia","Right-Handed,Two-HandedBackhand",""
"422","Yannick Hanfmann","h997","yannick-hanfmann","https://www.atptour.com/en/players/yannick-hanfmann/h997/overview","28(1991.11.13)","2015","190lbs(86kg)","6'4""(193cm)","Karlsruhe,Germany","Munich,Germany","Right-Handed,Two-HandedBackhand","LukasWolff,LarsUebel"
"423","Norbert Gombos","gb93","norbert-gombos","https://www.atptour.com/en/players/norbert-gombos/gb93/overview","29(1990.08.13)","2009","187lbs(85kg)","6'4""(193cm)","Galanta,Slovakia","Bratislava,Slovakia","Right-Handed,Two-HandedBackhand","TiborToth"
"424","Gleb Sakharov","sj22","gleb-sakharov","https://www.atptour.com/en/players/gleb-sakharov/sj22/overview","32(1988.06.10)","2005","176lbs(80kg)","6'1""(185cm)","Tashkent,Uzbekistan","Nantes,France","Right-Handed,Two-HandedBackhand","StéphanePlot"
"425","Akira Santillan","sq80","akira-santillan","https://www.atptour.com/en/players/akira-santillan/sq80/overview","23(1997.05.22)","2013","172lbs(78kg)","5'11""(180cm)","Tokyo,Japan","Brisbane,Australia","Right-Handed,One-HandedBackhand","JuanPedroBoshSalord"
"426","Sebastian Ofner","o513","sebastian-ofner","https://www.atptour.com/en/players/sebastian-ofner/o513/overview","24(1996.05.12)","2015","179lbs(81kg)","6'3""(191cm)","BruckanderMur,Austria","SanktMarein,Austria","Right-Handed,Two-HandedBackhand","AlexanderPeya,WolfgangThiem"
"427","Miljan Zekic","z246","miljan-zekic","https://www.atptour.com/en/players/miljan-zekic/z246/overview","32(1988.07.12)","","174lbs(79kg)","6'1""(185cm)","Belgrade,Serbia","Belgrade,Serbia","Right-Handed,Two-HandedBackhand","SlobodanVojinovic"
"428","Yasutaka Uchiyama","u134","yasutaka-uchiyama","https://www.atptour.com/en/players/yasutaka-uchiyama/u134/overview","27(1992.08.05)","2011","172lbs(78kg)","6'0""(183cm)","Sapporo,Japan","Tokyo,Japan","Right-Handed,Two-HandedBackhand","KentaroMasuda"
"429","Alex de Minaur","dh58","alex-de-minaur","https://www.atptour.com/en/players/alex-de-minaur/dh58/overview","21(1999.02.17)","2015","152lbs(69kg)","6'0""(183cm)","Sydney,Australia","Sydney,Australia","Right-Handed,Two-HandedBackhand","AdolfoGutierrez"
"430","Yannick Maden","mh16","yannick-maden","https://www.atptour.com/en/players/yannick-maden/mh16/overview","30(1989.10.28)","2013","155lbs(70kg)","6'1""(185cm)","Stuttgart,Germany","Stuttgart,Germany","Right-Handed,Two-HandedBackhand","MarkusWislsperger,FidiBeutel"
"431","Amine Ahouda","af32","amine-ahouda","https://www.atptour.com/en/players/amine-ahouda/af32/overview","22(1997.09.11)","2013","168lbs(76kg)","6'1""(185cm)","Casablanca,Morocco","Casablanca,Morocco","Right-Handed,Two-HandedBackhand","HichamArazi"
"432","Gianluigi Quinzi","q948","gianluigi-quinzi","https://www.atptour.com/en/players/gianluigi-quinzi/q948/overview","24(1996.02.01)","2010","185lbs(84kg)","6'3""(191cm)","Cittadella,Italy","BradentonFlorida,USA","Left-Handed,Two-HandedBackhand",""
"433","Laslo Djere","db63","laslo-djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","25(1995.06.02)","2013","181lbs(82kg)","6'2""(188cm)","Senta,Serbia","NoviSad,Serbia","Right-Handed,Two-HandedBackhand","BorisConkic,BorisSobkin"
"434","Darian King","kc86","darian-king","https://www.atptour.com/en/players/darian-king/kc86/overview","28(1992.04.26)","2010","170lbs(77kg)","6'2""(188cm)","Bridgetown,Barbados","Bridgetown,Barbados","Right-Handed,Two-HandedBackhand","ChristopherKing"
"435","Tennys Sandgren","sl08","tennys-sandgren","https://www.atptour.com/en/players/tennys-sandgren/sl08/overview","29(1991.07.22)","2011","195lbs(88kg)","6'2""(188cm)","Gallatin,TN,USA","Gallatin,TN,USA","Right-Handed,Two-HandedBackhand","MichaelRussell"
"436","Mitchell Krueger","kc12","mitchell-krueger","https://www.atptour.com/en/players/mitchell-krueger/kc12/overview","26(1994.01.12)","2012","180lbs(82kg)","6'2""(188cm)","FortWorth,TX,USA","Dallas,TX,USA","Right-Handed,Two-HandedBackhand","DaveLicker"
"437","Casper Ruud","rh16","casper-ruud","https://www.atptour.com/en/players/casper-ruud/rh16/overview","21(1998.12.22)","2015","170lbs(77kg)","6'0""(183cm)","Oslo,Norway","Oslo,Norway","Right-Handed,Two-HandedBackhand","ChristianRuud"
"438","Stefanos Tsitsipas","te51","stefanos-tsitsipas","https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview","21(1998.08.12)","2016","196lbs(89kg)","6'4""(193cm)","Athens,Greece","MonteCarlo,Monaco","Right-Handed,One-HandedBackhand","ApostolosTsitsipas"
"439","Benjamin Bonzi","bm95","benjamin-bonzi","https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview","24(1996.06.09)","2015","168lbs(76kg)","6'1""(185cm)","Nimes,France","Anduze,France","Right-Handed,Two-HandedBackhand","CesarCoulon"
"440","Stefano Napolitano","n679","stefano-napolitano","https://www.atptour.com/en/players/stefano-napolitano/n679/overview","25(1995.04.11)","2012","198lbs(90kg)","6'5""(196cm)","Biella,Italy","Besazio,Switzerland","Right-Handed,Two-HandedBackhand","CristianBrandi"
"441","Stefano Travaglia","ta12","stefano-travaglia","https://www.atptour.com/en/players/stefano-travaglia/ta12/overview","28(1991.12.28)","2008","176lbs(80kg)","6'1""(185cm)","AscoliPiceno,Italy","AscoliPiceno,Italy","Right-Handed,Two-HandedBackhand","SimoneVagnozzi,DavideCassinello"
"442","Cameron Norrie","n771","cameron-norrie","https://www.atptour.com/en/players/cameron-norrie/n771/overview","24(1995.08.23)","2017","181lbs(82kg)","6'2""(188cm)","Johannesburg,SouthAfrica","London,England","Left-Handed,Two-HandedBackhand","FacundoLugones"
"443","Christopher Eubanks","e865","christopher-eubanks","https://www.atptour.com/en/players/christopher-eubanks/e865/overview","24(1996.05.05)","2017","180lbs(82kg)","6'7""(201cm)","Atlanta,GA,USA","Atlanta,GA,USA","Right-Handed,One-HandedBackhand","ChristianHill"
"444","Federico Gaio","gb53","federico-gaio","https://www.atptour.com/en/players/federico-gaio/gb53/overview","28(1992.03.05)","2009","185lbs(84kg)","5'11""(180cm)","Faenza,Italy","Faenza,Italy","Right-Handed,One-HandedBackhand","DanieleSilvestre"
"445","Giovanni Lapentti","l430","giovanni-lapentti","https://www.atptour.com/en/players/giovanni-lapentti/l430/overview","(1983.01.25)","2002","201lbs(91kg)","6'4""(193cm)","Guayaquil,Ecuador","Guayaquil/Miami,Florida,USA","Right-Handed,Two-HandedBackhand","GabrielMarkus"
"446","Frederico Ferreira Silva","sn54","frederico-ferreira-silva","https://www.atptour.com/en/players/frederico-ferreira-silva/sn54/overview","25(1995.03.18)","2013","163lbs(74kg)","5'10""(178cm)","CaldasdaRainha,Portugal","CaldasdaRainha,Portugal","Left-Handed,Two-HandedBackhand","PedroFelner"
"447","Pedro Sousa","s483","pedro-sousa","https://www.atptour.com/en/players/pedro-sousa/s483/overview","32(1988.05.27)","2007","154lbs(70kg)","5'11""(180cm)","Lisbon,Portugal","Lisbon,Portugal","Right-Handed,Two-HandedBackhand","RuiMachado,RubenRamirezHidalgo"
"448","Joao Domingues","d985","joao-domingues","https://www.atptour.com/en/players/joao-domingues/d985/overview","26(1993.10.05)","2013","154lbs(70kg)","","OliveiradeAzemeis,Portugal","Porto,Portugal","Right-Handed,Two-HandedBackhand","JoãoAntunesandAndréPodalka"
"449","Evan King","kb37","evan-king","https://www.atptour.com/en/players/evan-king/kb37/overview","28(1992.03.25)","2013","175lbs(79kg)","6'1""(185cm)","Chicago,IL,USA","Chicago,IL,USA","Left-Handed,Two-HandedBackhand","SeanMaymi"
"450","Daniel Altmaier","ae14","daniel-altmaier","https://www.atptour.com/en/players/daniel-altmaier/ae14/overview","21(1998.09.12)","2014","194lbs(88kg)","6'3""(191cm)","Kempen,Germany","Kempen,Germany","Right-Handed,One-HandedBackhand","FranciscoYunis"
"451","Maximilian Marterer","mn13","maximilian-marterer","https://www.atptour.com/en/players/maximilian-marterer/mn13/overview","25(1995.06.15)","2015","185lbs(84kg)","6'3""(191cm)","Nuremberg,Germany","Stein,Germany","Left-Handed,Two-HandedBackhand","MichaelKohlmann"
"452","Matteo Berrettini","bk40","matteo-berrettini","https://www.atptour.com/en/players/matteo-berrettini/bk40/overview","24(1996.04.12)","2015","209lbs(95kg)","6'5""(196cm)","Rome,Italy","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","VincenzoSantopadre,UmbertoRianna"
"453","Viktor Galovic","gb61","viktor-galovic","https://www.atptour.com/en/players/viktor-galovic/gb61/overview","29(1990.09.19)","2011","194lbs(88kg)","6'4""(193cm)","NovaGradiska,Croatia","Bussero,Italy","Right-Handed,Two-HandedBackhand","CristianBrandi"
"454","Marc-Andrea Huesler","hh06","marc-andrea-huesler","https://www.atptour.com/en/players/marc-andrea-huesler/hh06/overview","24(1996.06.24)","2016","194lbs(88kg)","6'5""(196cm)","Zurich,Switzerland","Zurich,Switzerland","Left-Handed,Two-HandedBackhand","JurgHuesler,RomanValent"
"455","Oriol Roca Batalla","rb60","oriol-roca-batalla","https://www.atptour.com/en/players/oriol-roca-batalla/rb60/overview","27(1993.04.30)","","165lbs(75kg)","5'8""(173cm)","Barcelona","SantaColomadeGramenet","Right-Handed,One-HandedBackhand","JoanBalcells&DavidOlles"
"456","Felix Auger-Aliassime","ag37","felix-auger-aliassime","https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview","19(2000.08.08)","2017","194lbs(88kg)","6'4""(193cm)","Montreal,Canada","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","GuillaumeMarx,FredericFontang"
"457","Jason Jung","j380","jason-jung","https://www.atptour.com/en/players/jason-jung/j380/overview","31(1989.06.15)","2011","152lbs(69kg)","5'11""(180cm)","Torrance,CA,USA","Torrance,CA,USA","Right-Handed,Two-HandedBackhand","OliverMesserli"
"458","Prajnesh Gunneswaran","ga94","prajnesh-gunneswaran","https://www.atptour.com/en/players/prajnesh-gunneswaran/ga94/overview","30(1989.11.12)","2010","176lbs(80kg)","6'2""(188cm)","Chennai,India","Chennai,India","Left-Handed,Two-HandedBackhand","BastianSuwanprateeep"
"459","Rudolf Molleker","m0ac","rudolf-molleker","https://www.atptour.com/en/players/rudolf-molleker/m0ac/overview","19(2000.10.26)","2017","165lbs(75kg)","6'1""(185cm)","Severodonetsk,Ukraine","Berlin,Germany","Right-Handed,Two-HandedBackhand","JanVelthuis"
"460","Bernabe Zapata Miralles","z419","bernabe-zapata-miralles","https://www.atptour.com/en/players/bernabe-zapata-miralles/z419/overview","23(1997.01.12)","","180lbs(82kg)","6'0""(183cm)","Valencia,Spain","Valencia,Spain","Right-Handed,Two-HandedBackhand","CarlosNavarro"
"461","Alexei Popyrin","p09z","alexei-popyrin","https://www.atptour.com/en/players/alexei-popyrin/p09z/overview","20(1999.08.05)","2017","172lbs(78kg)","6'5""(196cm)","Sydney,Australia","Sydney,Australia","Right-Handed,Two-HandedBackhand","PhilippWagner"
"462","Yosuke Watanuki","wb08","yosuke-watanuki","https://www.atptour.com/en/players/yosuke-watanuki/wb08/overview","22(1998.04.12)","2016","139lbs(63kg)","5'11""(180cm)","Saitama,Japan","Saitama,Japan","Right-Handed,Two-HandedBackhand","YusukeWatanuki"
"463","Michael Mmoh","mp01","michael-mmoh","https://www.atptour.com/en/players/michael-mmoh/mp01/overview","22(1998.01.10)","2016","198lbs(90kg)","6'2""(188cm)","Riyadh,SaudiArabia","Bradenton,FL,USA","Right-Handed,Two-HandedBackhand","PatrickFrandji"
"464","Ugo Humbert","hh26","ugo-humbert","https://www.atptour.com/en/players/ugo-humbert/hh26/overview","22(1998.06.26)","2016","162lbs(73kg)","6'2""(188cm)","Metz,France","Luxembourg","Left-Handed,Two-HandedBackhand","CyrilBrechbuhl"
"465","Constant Lestienne","lb66","constant-lestienne","https://www.atptour.com/en/players/constant-lestienne/lb66/overview","28(1992.05.23)","2012","170lbs(77kg)","5'11""(180cm)","Amiens,France","Amiens,France","Right-Handed,Two-HandedBackhand","AlexandreSidorenko"
"466","Alexey Vatutin","v717","alexey-vatutin","https://www.atptour.com/en/players/alexey-vatutin/v717/overview","27(1992.10.27)","","152lbs(69kg)","5'10""(178cm)","Volgograd,Russia","Volgograd,Russia","Right-Handed,Two-HandedBackhand","YuriyKozlovich,EduardDavydenko,AndreiGorban"
"467","Carlos Taberner","te16","carlos-taberner","https://www.atptour.com/en/players/carlos-taberner/te16/overview","22(1997.08.08)","2015","172lbs(78kg)","6'0""(183cm)","Valencia,Spain","Valencia,Spain","Right-Handed,Two-HandedBackhand","GermanAnglada,JoseAltur,PabloLozano"
"468","Nicola Kuhn","ki74","nicola-kuhn","https://www.atptour.com/en/players/nicola-kuhn/ki74/overview","20(2000.03.20)","2015","165lbs(75kg)","6'1""(185cm)","Innsbruck,Austria","Torrevieja,Spain","Right-Handed,Two-HandedBackhand","SteffenNeutert"
"469","Tallon Griekspoor","gj37","tallon-griekspoor","https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview","24(1996.07.02)","2015","187lbs(85kg)","6'2""(188cm)","Haarlem,Netherlands","Amsterdam,Netherlands","Right-Handed,Two-HandedBackhand","DennisSchenk"
"470","Daniel Masur","mn20","daniel-masur","https://www.atptour.com/en/players/daniel-masur/mn20/overview","25(1994.11.06)","2013","172lbs(78kg)","6'0""(183cm)","Bueckeburg,Germany","Munich,Germany","Right-Handed,Two-HandedBackhand","ElenaMasur"
"471","Lorenzo Sonego","su87","lorenzo-sonego","https://www.atptour.com/en/players/lorenzo-sonego/su87/overview","25(1995.05.11)","2013","168lbs(76kg)","6'3""(191cm)","Turin,Italy","Turin,Italy","Right-Handed,Two-HandedBackhand","GipoArbino"
"472","Hubert Hurkacz","hb71","hubert-hurkacz","https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview","23(1997.02.11)","2015","179lbs(81kg)","6'5""(196cm)","Wroclaw,Poland","Wroclaw,Poland","Right-Handed,Two-HandedBackhand","CraigBoynton"
"473","Ilya Ivashka","i305","ilya-ivashka","https://www.atptour.com/en/players/ilya-ivashka/i305/overview","26(1994.02.24)","2013","185lbs(84kg)","6'4""(193cm)","Minsk,Belarus","Minsk,Belarus","Right-Handed,Two-HandedBackhand","JoseCheca-Calvo"
