"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"51","Tommy Robredo","r419","tommy-robredo","https://www.atptour.com/en/players/tommy-robredo/r419/overview","38(1982.05.01)","1998","165lbs(75kg)","5'11""(180cm)","Hostalric,Spain","SantCugatdelValles,Spain","Right-Handed,One-HandedBackhand","JoseLuisAparisi"
"52","Michael Lammer","l523","michael-lammer","https://www.atptour.com/en/players/michael-lammer/l523/overview","(1982.03.25)","","176lbs(80kg)","6'1""(185cm)","Kilchberg,Switzerland","Dubendorf,Switzerland","Right-Handed,UnknownBackhand","DarioCamenzind"
"53","Marc Gicquel","g436","marc-gicquel","https://www.atptour.com/en/players/marc-gicquel/g436/overview","(1977.03.30)","1999","165lbs(75kg)","6'2""(188cm)","Tunis,Tunisia","Boulogne-Billancourt,France","Right-Handed,UnknownBackhand","ThierryAscione"
"54","Simon Greul","g511","simon-greul","https://www.atptour.com/en/players/simon-greul/g511/overview","(1981.04.13)","2000","176lbs(80kg)","6'1""(185cm)","Stuttgart,Germany","Stuttgart,Germany","Right-Handed,UnknownBackhand",""
"55","Rubin Statham","sf89","rubin-statham","https://www.atptour.com/en/players/rubin-statham/sf89/overview","33(1987.04.25)","2002","176lbs(80kg)","5'10""(178cm)","Westminster,GreatBritain","Batumi,Georgia","Right-Handed,Two-HandedBackhand","GarySwinkels"
"56","Sebastien Grosjean","g379","sebastien-grosjean","https://www.atptour.com/en/players/sebastien-grosjean/g379/overview","(1978.05.29)","1996","160lbs(73kg)","5'9""(175cm)","Marseille,France","BocaRaton,Florida,USA","Right-Handed,Two-HandedBackhand","BernardFritz"
"57","Tomas Berdych","ba47","tomas-berdych","https://www.atptour.com/en/players/tomas-berdych/ba47/overview","(1985.09.17)","2002","200lbs(91kg)","6'5""(196cm)","ValasskeMezirici,CZE","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","MartinStepanek"
"58","Jan Hajek","h571","jan-hajek","https://www.atptour.com/en/players/jan-hajek/h571/overview","(1983.08.07)","2000","176lbs(80kg)","5'11""(180cm)","Olomouc,CzechRepublic","Olomouc,CzechRepublic","Right-Handed,Two-HandedBackhand",""
"59","Kevin Anderson","a678","kevin-anderson","https://www.atptour.com/en/players/kevin-anderson/a678/overview","34(1986.05.18)","2007","208lbs(94kg)","6'8""(203cm)","Johannesburg,SouthAfrica","GulfStream,FL,USA","Right-Handed,Two-HandedBackhand","DiegoMoyano,JayBosworth"
"60","Santiago Ventura","v251","santiago-ventura","https://www.atptour.com/en/players/santiago-ventura/v251/overview","(1980.01.05)","2001","172lbs(78kg)","6'0""(183cm)","Castellon,Spain","Burriana,Spain","Right-Handed,Two-HandedBackhand","DiegoDinomo"
